web-scraper-order,web-scraper-start-url,Product,Product-href,Name,price,Rating,Review,Description,ASIN,Product Description,Manufracturer
1692629813-43,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Wildcraft Nylon 7 inch Imp_Blue Travel Duffle (11550),https://www.amazon.in/Wildcraft-Imp_Blue-Travel-Duffle-11550/dp/B075T95K1Z/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-266,Wildcraft Nylon 7 inch Imp_Blue Travel Duffle (11550),845,61 ratings,4.3 out of 5 stars,Capacity: 22 liters; Dimensions: 7 inches x 13 inches x 9 inches (LxWxH),Wildcraft,"This duffel bag is useful for your long-haul expeditions. Its gives strength and resilience, making it perfect for travel.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 21 September 2017"
1692629818-44,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Ant Esports Knight Cobra 23, Large 38L Stylish unisex backpack with USB Charging Port, Earphone/Headphone Port, with rain protection cover and reflective strip, fits upto 17"" Laptop-Dynamic Blue",https://www.amazon.in/Ant-Esports-Knight-protection-Laptop-Dynamic/dp/B0BZ4WCJHR/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-265,"Ant Esports Knight Cobra 23, Large 38L Stylish unisex backpack with USB Charging Port, Earphone/Headphone Port, with rain protection cover and reflective strip, fits upto 17"" Laptop-Dynamic Blue",584,6 ratings,3.9 out of 5 stars,"· MULTI-LAYERED COMPARTMENT: Larger roomy compartments can provide separated space for laptop, iPad, Tabs, A4 files, wallet, clothes, power bank, lunch box and other small office carry items. Zippered front pocket can hold some small but commonly used items.",,,
1692629823-45,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-264,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,885 ratings,3.8 out of 5 stars,Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.,B07QN4KXWG,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AirCase"
1692629828-46,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear Splash 32 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),https://www.amazon.in/Gear-Resistant-Backpack-Daypack-College/dp/B0BZWMFTRT/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-263,Gear Splash 32 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),"1,199",3 ratings,5.0 out of 5 stars,,B0BZWMFTRT,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Gear"
1692629832-47,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_262?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-262,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),649,"1,908 ratings",3.8 out of 5 stars,"This business laptop backpack design with separate laptop compartment to hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. 2 spacious packing compartments roomy for iPad,mouse,charger,binders,books,clothes,ect. Front compartment with many pockets, pen pockets and key fob hook, make your items organized and easier to find.",B09H7PK5ML,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 1"
1692629841-48,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,ZOUK Women's Contemporary (Wave Beach),https://www.amazon.in/ZOUK-Womens-Contemporary-Wave-Beach/dp/B07LB67L57/ref=sr_1_261?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-261,ZOUK Women's Contemporary (Wave Beach),"1,998",397 ratings,4.5 out of 5 stars,"COMPONENTS INSIDE: Inside the bag, there is a padded laptop compartment, with a velcro sticker. There is a large central section to keep your laptop charger, mobile charger, wallet, a book and a thin tiffin box. There are two small pockets for keeping a wallet and keys and two pen slots. The inside has a water resistant lining.",Zouk,,"Date First Available
                                    ‏
                                        :
                                    ‎
                                 10 December 2018"
1692629847-49,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-260,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",699,346 ratings,3.9 out of 5 stars,"SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm",B09842K4RQ,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AB Amazing Bags"
1692629851-50,https://www.amazon.in/s?k=bags&page=17&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres",https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJ64SH/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1692629760&sprefix=ba%2Caps%2C283&sr=8-259,"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres","1,305",15 ratings,4.5 out of 5 stars,"Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!",B097JJ64SH,"How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Fringe School Bag.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Safari"
1692629861-51,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-260,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,885 ratings,3.8 out of 5 stars,Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.,B07QN4KXWG,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AirCase"
1692629867-52,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,ZOUK 100% PeTA Approved Vegan Leather Shoulder Bag for Women,https://www.amazon.in/ZOUK-Approved-Leather-Double-Printed/dp/B09QRPKRCF/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-259,ZOUK 100% PeTA Approved Vegan Leather Shoulder Bag for Women,"1,628",83 ratings,4.2 out of 5 stars,"Space And Compatibility: This Stylish side bag for girls is an ideal handbag, Picnic bag for ladies. It is very spacious and can fit all daily essentials like wallet, stole, book, tiffin box, pouch, chargers and water bottle. This makes it a great gift for women and can be used as a good carry bag for shopping or a travel bag. Dimensions: 19 x 12 x 4 inch.",B09QRPKRCF,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ZOUK"
1692629871-53,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_258?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-258,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),649,"1,908 ratings",3.8 out of 5 stars,"This business laptop backpack design with separate laptop compartment to hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. 2 spacious packing compartments roomy for iPad,mouse,charger,binders,books,clothes,ect. Front compartment with many pockets, pen pockets and key fob hook, make your items organized and easier to find.",B09H7PK5ML,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 1"
1692629877-54,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,ZOUK Women's Contemporary (Wave Beach),https://www.amazon.in/ZOUK-Womens-Contemporary-Wave-Beach/dp/B07LB67L57/ref=sr_1_257?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-257,ZOUK Women's Contemporary (Wave Beach),"1,998",397 ratings,4.5 out of 5 stars,"COMPONENTS INSIDE: Inside the bag, there is a padded laptop compartment, with a velcro sticker. There is a large central section to keep your laptop charger, mobile charger, wallet, a book and a thin tiffin box. There are two small pockets for keeping a wallet and keys and two pen slots. The inside has a water resistant lining.",Zouk,,"Date First Available
                                    ‏
                                        :
                                    ‎
                                 10 December 2018"
1692629883-55,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Wildcraft Nylon 7 inch Imp_Blue Travel Duffle (11550),https://www.amazon.in/Wildcraft-Imp_Blue-Travel-Duffle-11550/dp/B075T95K1Z/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-256,Wildcraft Nylon 7 inch Imp_Blue Travel Duffle (11550),845,61 ratings,4.3 out of 5 stars,Capacity: 22 liters; Dimensions: 7 inches x 13 inches x 9 inches (LxWxH),Wildcraft,"This duffel bag is useful for your long-haul expeditions. Its gives strength and resilience, making it perfect for travel.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 21 September 2017"
1692629889-56,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Amazon Basics Slope 15.6-Inch Laptop Backpack for Office or College, Anti-Theft Design (23 L, Black)",https://www.amazon.in/Amazon-15-6-Inch-Backpack-College-Anti-Theft/dp/B0C8NWKRRH/ref=sr_1_255?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-255,"Amazon Basics Slope 15.6-Inch Laptop Backpack for Office or College, Anti-Theft Design (23 L, Black)",869,218 ratings,4.3 out of 5 stars,Other storage: It also features a spacious padded compartment.,,"Keep your possessions safe in this spacious, anti-theft backpack from Amazon Basics. Carry it to college or work. It features a dedicated compartment that can easily fit a laptop up to 15.6 inches, and a spacious padded compartment. It is designed with anti-theft technology. The zipper of the main pocket is fully hidden to protect your belongings from unwanted access. It Is made from polyester and fabric with a PU-coated polyester lining. Get this high-quality product at a great price from Amazon Basics.",
1692629894-57,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear Splash 32 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),https://www.amazon.in/Gear-Resistant-Backpack-Daypack-College/dp/B0BZWMFTRT/ref=sr_1_254?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-254,Gear Splash 32 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),"1,199",3 ratings,5.0 out of 5 stars,,B0BZWMFTRT,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Gear"
1692629900-58,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-253,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","1,337",991 ratings,4.2 out of 5 stars,Travel friendly backpack with Uncompromising storage space for devices and essentials: The backpack comes with a ventilated and well-padded back panel for extra breathability. Adjustable shoulder straps offer the perfect fit. Spacious main compartment and Stretchy polyester side pockets offer quick access to your essentials,B08R7S55H4,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Lenovo"
1692629905-59,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ/ref=sr_1_250?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-250,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",699,346 ratings,3.9 out of 5 stars,"SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm",B09842K4RQ,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 AB Amazing Bags"
1692629911-60,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_249?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-249,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,239,"7,975 ratings",3.6 out of 5 stars,Dimension and Capacity - 10L Backpack. Dimensions - 23 x 39 x 10 CM (L x H x W).,B07PS38XSP,The product will be an excellent pick for you. It ensures an easy maintenance. With Rain Cover : No,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Fur Jaden"
1692629917-61,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase For Men/Women With Raincover (Grey),https://www.amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67/ref=sr_1_248?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-248,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase For Men/Women With Raincover (Grey),"1,794","1,121 ratings",4.4 out of 5 stars,Load Stabilizing Adjustable Sternum Strap : Bartacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers,B097KDRZ67,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Gear"
1692629921-62,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,American Tourister X-Bag Nylon 65 Cms Travel Duffle Bag (Black),https://www.amazon.in/American-Tourister-40X-09-009/dp/B00FRCNTUO/ref=sr_1_247?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-247,American Tourister X-Bag Nylon 65 Cms Travel Duffle Bag (Black),"2,099",407 ratings,4.3 out of 5 stars,,B00FRCNTUO,"Made from tough and durable, yet lightweight, Cuzy nylon material, the entire range of duffel bags is available to buy online. With a spacious main section and complementary side and front pockets, the duffel bags are designed to pack in all your necessary travel gear. Designed for unisex use. Given the range of our consumer’s unique needs, some of our designs also come equipped with adjustable straps to sling the duffel bag across the shoulders, as an added advantage to the adventurous consumer who may take the bag on a trek or road-trip. Available in varying sizes when you shop online, our duffel bags will be the perfect travel companion no matter where you go. Irrespective of your needs, you will find your perfect solution when you shop online from our duffel bag collection.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 American Tourister"
1692629927-63,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack",https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B0BZSQWLNH/ref=sr_1_246?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-246,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","3,999",509 ratings,4.4 out of 5 stars,"Versatile 3-in-1 design lets you use it as an office bag, travel bag, or hiking backpack, making it a great all-purpose bag.",1908 & 1908 Plus,,"ASIN
                                    ‏
                                        :
                                    ‎
                                 B0BZSQWLNH"
1692629935-64,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",https://www.amazon.in/DIVULGE-Drawstring-Bag-Sports-Utility/dp/B07PXTDBH4/ref=sr_1_245?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-245,"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",145,"1,158 ratings",4.0 out of 5 stars,Storage capacity up-to 16 litres.; Dimensions: Width - 12 inches & Height - 18 inches. <br>,B07PXTDBH4,"Divulge drawstring backpack is a 16 Litres - sports & multi utility backpack made out of high-performance coated polyester fabric which makes the backpack sturdy, durable and highly water resistant.The gussets on the either sides of the backpack expands and provides a roomy space when filled with stuff. Provided with stretchable Strings for Main Closure, makes it easy and quick to store the things. As its a collapsible bag you can fold it into a small size and keep it in a pocket. This backpack is perfect pick for all purposes, be it for your day trips, tuition classes, Gyming, yoga, Swimming, cycling and other sport sessions.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 DIVULGE"
1692629940-65,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear polyester 44 cms Duffle Bag(DUFPRO2000106_Black),https://www.amazon.in/Gear-ltr-Black-Orange-DUFPRO2000106/dp/B00Z93WSVW/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-244,Gear polyester 44 cms Duffle Bag(DUFPRO2000106_Black),429,837 ratings,4.3 out of 5 stars,Capacity: 23 liters Weight: 0.340 kilograms Dimensions: 23 cms x 44 cms x 23 cms (LxWxH),Gear Merchandise PVT LTD,"Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 9 June 2015"
1692629948-66,https://www.amazon.in/s?k=bags&page=16&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",https://www.amazon.in/Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1692629853&sprefix=ba%2Caps%2C283&sr=8-243,"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",395,488 ratings,4.1 out of 5 stars,"Structure: A total of 1 main Zipper Pocket, 1 pocket front side and 1 pocket back side for other accessories, adjustable shoulder strap.",B09KNMWWPH,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 SaiTech IT Private Limited"
1692629958-67,https://www.amazon.in/s?k=bags&page=15&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase For Men/Women With Raincover (Grey),https://www.amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1692629950&sprefix=ba%2Caps%2C283&sr=8-244,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase For Men/Women With Raincover (Grey),"1,794","1,121 ratings",4.4 out of 5 stars,Load Stabilizing Adjustable Sternum Strap : Bartacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers,B097KDRZ67,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Gear"
1692629962-68,https://www.amazon.in/s?k=bags&page=15&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,American Tourister X-Bag Nylon 65 Cms Travel Duffle Bag (Black),https://www.amazon.in/American-Tourister-40X-09-009/dp/B00FRCNTUO/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1692629950&sprefix=ba%2Caps%2C283&sr=8-243,American Tourister X-Bag Nylon 65 Cms Travel Duffle Bag (Black),"2,099",407 ratings,4.3 out of 5 stars,,B00FRCNTUO,"Made from tough and durable, yet lightweight, Cuzy nylon material, the entire range of duffel bags is available to buy online. With a spacious main section and complementary side and front pockets, the duffel bags are designed to pack in all your necessary travel gear. Designed for unisex use. Given the range of our consumer’s unique needs, some of our designs also come equipped with adjustable straps to sling the duffel bag across the shoulders, as an added advantage to the adventurous consumer who may take the bag on a trek or road-trip. Available in varying sizes when you shop online, our duffel bags will be the perfect travel companion no matter where you go. Irrespective of your needs, you will find your perfect solution when you shop online from our duffel bag collection.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 American Tourister"
1692629971-69,https://www.amazon.in/s?k=bags&page=15&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey",https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_242?crid=2M096C61O4MLT&keywords=bags&qid=1692629950&sprefix=ba%2Caps%2C283&sr=8-242,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey","1,999","3,498 ratings",4.4 out of 5 stars,"[MULTI-FUNCTION]-- No need to worry about your phone battery running out with the useful USB port and charging cable, (power bank not included). There is also a headphone jack so you can listen to your favourite music on the go",B08HM4TQZZ,,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ah arctic hunter"
